City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Mahebourg,MU,-20.4081,57.7,71.26,78,20,11.5,few clouds
173,Leningradskiy,RU,69.3833,178.4167,32.38,91,99,18.25,overcast clouds
174,Eenhana,NA,-17.4667,16.3333,66.15,20,0,8.75,clear sky
175,Muros,ES,42.7762,-9.0603,65.84,84,0,3.62,clear sky
176,Hornepayne,CA,49.2138,-84.7705,58.64,87,100,5.03,overcast clouds
177,Barbastro,ES,42.0356,0.1269,69.98,38,26,4.16,scattered clouds
178,San Felipe,VE,10.3399,-68.7425,80.98,77,75,5.08,broken clouds
179,Hervey Bay,AU,-25.2986,152.8535,66.02,96,2,11.01,clear sky
180,Prince Rupert,CA,54.3161,-130.3201,60.89,72,0,17.27,clear sky
181,Oktyabrskiy,RU,54.4815,53.471,70.54,37,39,13.94,scattered clouds
182,Ahipara,NZ,-35.1667,173.1667,61.02,94,100,4.81,moderate rain
183,Murgab,TM,37.4966,61.9714,69.67,46,0,0.0,clear sky
184,Gazanjyk,TM,39.2446,55.5154,74.21,20,0,7.94,clear sky
185,Itoman,JP,26.1247,127.6694,80.62,83,75,18.41,broken clouds
186,Swan River,CA,52.1058,-101.2676,60.69,82,100,2.3,moderate rain
187,Jumla,NP,29.2747,82.1838,61.14,93,100,1.32,overcast clouds
188,Brigantine,US,39.4101,-74.3646,83.03,72,75,11.99,broken clouds
189,San Policarpo,PH,12.1791,125.5072,77.59,90,100,5.55,overcast clouds
190,Hay River,CA,60.8156,-115.7999,57.18,58,75,13.8,broken clouds
191,Avarua,CK,-21.2078,-159.775,78.85,69,75,4.61,broken clouds
192,Aykhal,RU,66.0,111.5,33.58,99,100,3.87,snow
193,Ceres,US,37.5949,-120.9577,78.8,55,100,4.61,overcast clouds
194,Itarema,BR,-2.9248,-39.9167,78.35,80,100,16.4,overcast clouds
195,Turochak,RU,52.2576,87.1224,43.86,93,70,2.48,broken clouds
196,Winnemucca,US,40.973,-117.7357,75.25,23,0,8.05,clear sky
197,Dunedin,NZ,-45.8742,170.5036,54.81,70,100,2.44,overcast clouds
